subject,subject_grades,subject_session
CY29001-PHYSICAL CHEMISTRY LABORATORY I,I,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EC21101-BASIC ELECTRONICS,EX,Autumn20
EC29001-BASIC ELECTRONICS LAB.,EX,Autumn20
HS30041-CONTEMPORARY DRAMA AND THEATRE,EX,Autumn20
MA21007-DESIGN & ANALYSIS OF ALGORITHMS,B,Autumn20
PH20003-PHYSICS-II,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
CY20102-PHYSICAL CHEMISTRY II,EX,Spring21
CY20106-INORGANIC CHEMISTRY II,EX,Spring21
CY21006-ORGANIC CHEMISTRY II,EX,Spring21
CY29002-INORGANIC CHEMISTRY LABORATORY I,,Spring21
CY29004-ORGANIC CHEMISTRY LABORATORY I,EX,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS30075-MODERNISATION AND CREATIVE COMMUNICATION,EX,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,B,Spring21
CY11001-CHEMISTRY,D,Autumn19
CY19001-CHEMISTRY LAB.,C,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,P,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,D,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,D,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19
MA10001-MATHEMATICS-I,D,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,P,Spring20
MA10002-MATHEMATICS-II,P,Spring20
ME10001-MECHANICS,D,Spring20
MT66003-,A,Spring20
PH11001-PHYSICS,D,Spring20
PH19001-PHYSICS LAB.,B,Spring20
CY20101-PHYSICAL CHEMISTRY I,B,Autumn20
CY20103-ORGANIC CHEMISTRY I,C,Autumn20
CY20105-INORGANIC CHEMISTRY I,A,Autumn20
CY29001-PHYSICAL CHEMISTRY LABORATORY I,I,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EC21101-BASIC ELECTRONICS,B,Autumn20
EC29001-BASIC ELECTRONICS LAB.,A,Autumn20
HS30074-SCIENCE AND HUMANISM,A,Autumn20
PH20003-PHYSICS-II,B,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
CY20102-PHYSICAL CHEMISTRY II,B,Spring21
CY20106-INORGANIC CHEMISTRY II,C,Spring21
CY21006-ORGANIC CHEMISTRY II,C,Spring21
CY29002-INORGANIC CHEMISTRY LABORATORY I,,Spring21
CY29004-ORGANIC CHEMISTRY LABORATORY I,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring21
EV20001-ENVIRONMENTAL SCIENCE,D,Spring21
HS30075-MODERNISATION AND CREATIVE COMMUNICATION,EX,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,P,Spring21
CY11001-CHEMISTRY,P,Autumn19
CY19001-CHEMISTRY LAB.,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,C,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,C,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19
MA10001-MATHEMATICS-I,D,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,P,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,D,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
MA10002-MATHEMATICS-II,P,Spring20
ME10001-MECHANICS,P,Spring20
PH11001-PHYSICS,D,Spring20
PH19001-PHYSICS LAB.,C,Spring20
CY20101-PHYSICAL CHEMISTRY I,C,Autumn20
CY20103-ORGANIC CHEMISTRY I,B,Autumn20
CY20105-INORGANIC CHEMISTRY I,D,Autumn20
CY29001-PHYSICAL CHEMISTRY LABORATORY I,I,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EC21101-BASIC ELECTRONICS,B,Autumn20
EC29001-BASIC ELECTRONICS LAB.,B,Autumn20
HS40003-PERSONNEL MANAGEMENT AND INDUSTRIAL RELATIONS,P,Autumn20
PH20003-PHYSICS-II,B,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,C,Spring21
CY20102-PHYSICAL CHEMISTRY II,D,Spring21
CY20106-INORGANIC CHEMISTRY II,C,Spring21
CY21006-ORGANIC CHEMISTRY II,D,Spring21
CY29002-INORGANIC CHEMISTRY LABORATORY I,,Spring21
CY29004-ORGANIC CHEMISTRY LABORATORY I,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,B,Spring21
HS30050-SOCIO-TECHNICAL INTERVENTIONS FOR AGEING SOCIETIES,P,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,B,Spring21
CY11001-CHEMISTRY,F,Autumn19
CY19001-CHEMISTRY LAB.,F,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,F,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,F,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,X,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,F,Autumn19
MA10001-MATHEMATICS-I,F,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,F,Autumn19
CY11001-CHEMISTRY,P,Autumn19
CY19001-CHEMISTRY LAB.,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,P,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,C,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn19
MA10001-MATHEMATICS-I,P,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,P,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,D,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
MA10002-MATHEMATICS-II,D,Spring20
ME10001-MECHANICS,P,Spring20
PH11001-PHYSICS,D,Spring20
PH19001-PHYSICS LAB.,B,Spring20
CY20101-PHYSICAL CHEMISTRY I,A,Autumn20
CY20103-ORGANIC CHEMISTRY I,A,Autumn20
CY20105-INORGANIC CHEMISTRY I,A,Autumn20
CY29001-PHYSICAL CHEMISTRY LABORATORY I,I,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EC21101-BASIC ELECTRONICS,A,Autumn20
EC29001-BASIC ELECTRONICS LAB.,EX,Autumn20
HS20018-SANSKRIT AND HERITAGE,B,Autumn20
PH20003-PHYSICS-II,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,B,Spring21
CY20102-PHYSICAL CHEMISTRY II,A,Spring21
CY20106-INORGANIC CHEMISTRY II,B,Spring21
CY21006-ORGANIC CHEMISTRY II,A,Spring21
CY29002-INORGANIC CHEMISTRY LABORATORY I,,Spring21
CY29004-ORGANIC CHEMISTRY LABORATORY I,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS30075-MODERNISATION AND CREATIVE COMMUNICATION,B,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,EX,Spring21
CY11001-CHEMISTRY,C,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,C,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,EX,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn19
MA10001-MATHEMATICS-I,C,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,D,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
MA10002-MATHEMATICS-II,A,Spring20
ME10001-MECHANICS,B,Spring20
PH11001-PHYSICS,C,Spring20
PH19001-PHYSICS LAB.,A,Spring20
CY20101-PHYSICAL CHEMISTRY I,B,Autumn20
CY20103-ORGANIC CHEMISTRY I,A,Autumn20
CY20105-INORGANIC CHEMISTRY I,D,Autumn20
CY29001-PHYSICAL CHEMISTRY LABORATORY I,I,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EC21101-BASIC ELECTRONICS,A,Autumn20
EC29001-BASIC ELECTRONICS LAB.,A,Autumn20
HS30066-VISUAL COMMUNICATION,B,Autumn20
PH20003-PHYSICS-II,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
CY20102-PHYSICAL CHEMISTRY II,A,Spring21
CY20106-INORGANIC CHEMISTRY II,C,Spring21
CY21006-ORGANIC CHEMISTRY II,C,Spring21
CY29002-INORGANIC CHEMISTRY LABORATORY I,,Spring21
CY29004-ORGANIC CHEMISTRY LABORATORY I,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20018-SANSKRIT AND HERITAGE,B,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,C,Spring21
CY11001-CHEMISTRY,P,Autumn19
CY19001-CHEMISTRY LAB.,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,D,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,P,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,C,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn19
MA10001-MATHEMATICS-I,P,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,P,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Spring20
MA10002-MATHEMATICS-II,P,Spring20
ME10001-MECHANICS,P,Spring20
PH11001-PHYSICS,C,Spring20
PH19001-PHYSICS LAB.,B,Spring20
CY20101-PHYSICAL CHEMISTRY I,B,Autumn20
CY20103-ORGANIC CHEMISTRY I,B,Autumn20
CY20105-INORGANIC CHEMISTRY I,A,Autumn20
CY29001-PHYSICAL CHEMISTRY LABORATORY I,I,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,C,Autumn20
EC21101-BASIC ELECTRONICS,B,Autumn20
EC29001-BASIC ELECTRONICS LAB.,A,Autumn20
HS30041-CONTEMPORARY DRAMA AND THEATRE,B,Autumn20
PH20003-PHYSICS-II,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,C,Spring21
CY20102-PHYSICAL CHEMISTRY II,C,Spring21
CY20106-INORGANIC CHEMISTRY II,A,Spring21
CY21006-ORGANIC CHEMISTRY II,C,Spring21
CY29002-INORGANIC CHEMISTRY LABORATORY I,,Spring21
CY29004-ORGANIC CHEMISTRY LABORATORY I,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,F,Spring21
EV20001-ENVIRONMENTAL SCIENCE,B,Spring21
HS31076-INTRODUCTION TO LANGUAGE AND LINGUISTICS,B,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,A,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,D,Autumn19
ME10001-MECHANICS,D,Autumn19
PH11001-PHYSICS,C,Autumn19
PH19001-PHYSICS LAB.,A,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
EE11001-ELECTRICAL TECHNOLOGY,C,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,C,Spring20
MA10002-MATHEMATICS-II,C,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Spring20
CY20101-PHYSICAL CHEMISTRY I,A,Autumn20
CY20103-ORGANIC CHEMISTRY I,A,Autumn20
CY20105-INORGANIC CHEMISTRY I,EX,Autumn20
CY29001-PHYSICAL CHEMISTRY LABORATORY I,I,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EC21101-BASIC ELECTRONICS,B,Autumn20
EC29001-BASIC ELECTRONICS LAB.,A,Autumn20
HS30075-MODERNISATION AND CREATIVE COMMUNICATION,B,Autumn20
PH20003-PHYSICS-II,EX,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,B,Spring21
CY20102-PHYSICAL CHEMISTRY II,A,Spring21
CY20106-INORGANIC CHEMISTRY II,A,Spring21
CY21006-ORGANIC CHEMISTRY II,A,Spring21
CY29002-INORGANIC CHEMISTRY LABORATORY I,,Spring21
CY29004-ORGANIC CHEMISTRY LABORATORY I,EX,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,B,Spring21
HS30051-INTRODUCTION TO CULTURAL STUDIES,A,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,EX,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,P,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,D,Autumn19
ME10001-MECHANICS,D,Autumn19
PH11001-PHYSICS,B,Autumn19
PH19001-PHYSICS LAB.,A,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
EE11001-ELECTRICAL TECHNOLOGY,A,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,B,Spring20
MA10002-MATHEMATICS-II,A,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
CY20101-PHYSICAL CHEMISTRY I,A,Autumn20
CY20103-ORGANIC CHEMISTRY I,A,Autumn20
CY20105-INORGANIC CHEMISTRY I,A,Autumn20
CY29001-PHYSICAL CHEMISTRY LABORATORY I,I,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EC21101-BASIC ELECTRONICS,A,Autumn20
EC29001-BASIC ELECTRONICS LAB.,A,Autumn20
ET61005-,B,Autumn20
PH20003-PHYSICS-II,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
CY20102-PHYSICAL CHEMISTRY II,A,Spring21
CY20106-INORGANIC CHEMISTRY II,A,Spring21
CY21006-ORGANIC CHEMISTRY II,A,Spring21
CY29002-INORGANIC CHEMISTRY LABORATORY I,,Spring21
CY29004-ORGANIC CHEMISTRY LABORATORY I,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,C,Spring21
HS30051-INTRODUCTION TO CULTURAL STUDIES,B,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,A,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,P,Autumn19
ME10001-MECHANICS,D,Autumn19
PH11001-PHYSICS,D,Autumn19
PH19001-PHYSICS LAB.,A,Autumn19
CY11001-CHEMISTRY,P,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,C,Spring20
EE11001-ELECTRICAL TECHNOLOGY,D,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,B,Spring20
MA10002-MATHEMATICS-II,D,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
CY20101-PHYSICAL CHEMISTRY I,C,Autumn20
CY20103-ORGANIC CHEMISTRY I,C,Autumn20
CY20105-INORGANIC CHEMISTRY I,A,Autumn20
CY29001-PHYSICAL CHEMISTRY LABORATORY I,I,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EC21101-BASIC ELECTRONICS,B,Autumn20
EC29001-BASIC ELECTRONICS LAB.,A,Autumn20
HS20018-SANSKRIT AND HERITAGE,EX,Autumn20
PH20003-PHYSICS-II,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,C,Spring21
CY20102-PHYSICAL CHEMISTRY II,C,Spring21
CY20106-INORGANIC CHEMISTRY II,A,Spring21
CY21006-ORGANIC CHEMISTRY II,C,Spring21
CY29002-INORGANIC CHEMISTRY LABORATORY I,,Spring21
CY29004-ORGANIC CHEMISTRY LABORATORY I,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring21
EV20001-ENVIRONMENTAL SCIENCE,B,Spring21
HS31076-INTRODUCTION TO LANGUAGE AND LINGUISTICS,EX,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,B,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,P,Autumn19
ME10001-MECHANICS,D,Autumn19
PH11001-PHYSICS,B,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
EE11001-ELECTRICAL TECHNOLOGY,C,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring20
HS13001-ENGLISH FOR COMMUNICATION,EX,Spring20
MA10002-MATHEMATICS-II,B,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring20
CY20101-PHYSICAL CHEMISTRY I,A,Autumn20
CY20103-ORGANIC CHEMISTRY I,EX,Autumn20
CY20105-INORGANIC CHEMISTRY I,EX,Autumn20
CY29001-PHYSICAL CHEMISTRY LABORATORY I,I,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EC21101-BASIC ELECTRONICS,A,Autumn20
EC29001-BASIC ELECTRONICS LAB.,EX,Autumn20
HS30041-CONTEMPORARY DRAMA AND THEATRE,EX,Autumn20
PH20003-PHYSICS-II,B,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring21
CY20102-PHYSICAL CHEMISTRY II,EX,Spring21
CY20106-INORGANIC CHEMISTRY II,EX,Spring21
CY21006-ORGANIC CHEMISTRY II,EX,Spring21
CY29002-INORGANIC CHEMISTRY LABORATORY I,,Spring21
CY29004-ORGANIC CHEMISTRY LABORATORY I,EX,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,EX,Spring21
HS20018-SANSKRIT AND HERITAGE,EX,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,B,Spring21
