subject,subject_grades,subject_session
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,EX,Spring20
MA10002-MATHEMATICS-II,A,Spring20
ME10001-MECHANICS,D,Spring20
PH11001-PHYSICS,B,Spring20
PH19001-PHYSICS LAB.,EX,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
HS20003-STATISTICS FOR ECONOMICS,A,Autumn20
HS20004-POSITIVE PSYCHOLOGY,EX,Autumn20
HS20005-MICRO ECONOMICS-I,EX,Autumn20
HS20007-MACRO ECONOMICS-I,B,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,EX,Spring21
HS20008-MACRO ECONOMICS-II,B,Spring21
HS20009-DEVELOPMENT ECONOMICS,A,Spring21
MA20104-PROBABILITY & STATISTICS,A,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,D,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,P,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,C,Autumn19
ME10001-MECHANICS,P,Autumn19
PH11001-PHYSICS,D,Autumn19
PH19001-PHYSICS LAB.,B,Autumn19
CY11001-CHEMISTRY,D,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,C,Spring20
EE11001-ELECTRICAL TECHNOLOGY,D,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,C,Spring20
MA10002-MATHEMATICS-II,C,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,C,Autumn20
HS20003-STATISTICS FOR ECONOMICS,B,Autumn20
HS20005-MICRO ECONOMICS-I,B,Autumn20
HS20007-MACRO ECONOMICS-I,C,Autumn20
HS30057-SOCIOLOGY OF ECONOMICS DEVELOPMENT,A,Autumn20
IM21003-OPERATIONS RESEARCH-I,P,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,B,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,C,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,C,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,A,Spring21
HS20008-MACRO ECONOMICS-II,B,Spring21
HS20009-DEVELOPMENT ECONOMICS,B,Spring21
MA20104-PROBABILITY & STATISTICS,C,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,C,Autumn19
ME10001-MECHANICS,D,Autumn19
PH11001-PHYSICS,C,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
EE11001-ELECTRICAL TECHNOLOGY,D,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring20
HS13001-ENGLISH FOR COMMUNICATION,C,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
HS20003-STATISTICS FOR ECONOMICS,A,Autumn20
HS20004-POSITIVE PSYCHOLOGY,EX,Autumn20
HS20005-MICRO ECONOMICS-I,EX,Autumn20
HS20007-MACRO ECONOMICS-I,EX,Autumn20
IM21003-OPERATIONS RESEARCH-I,A,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,A,Spring21
HS20008-MACRO ECONOMICS-II,EX,Spring21
HS20009-DEVELOPMENT ECONOMICS,EX,Spring21
MA20013-DISCRETE MATHEMATICS,A,Spring21
MA20104-PROBABILITY & STATISTICS,C,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,B,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,A,Autumn19
ME10001-MECHANICS,C,Autumn19
PH11001-PHYSICS,A,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
EE11001-ELECTRICAL TECHNOLOGY,A,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring20
HS13001-ENGLISH FOR COMMUNICATION,B,Spring20
MA10002-MATHEMATICS-II,A,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,EX,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
HS20003-STATISTICS FOR ECONOMICS,A,Autumn20
HS20005-MICRO ECONOMICS-I,EX,Autumn20
HS20007-MACRO ECONOMICS-I,EX,Autumn20
HS30074-SCIENCE AND HUMANISM,A,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,EX,Spring21
HS20008-MACRO ECONOMICS-II,EX,Spring21
HS20009-DEVELOPMENT ECONOMICS,A,Spring21
MA20104-PROBABILITY & STATISTICS,EX,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,B,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,P,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,A,Autumn19
ME10001-MECHANICS,C,Autumn19
PH11001-PHYSICS,A,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,A,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,C,Spring20
EE11001-ELECTRICAL TECHNOLOGY,C,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,A,Spring20
MA10002-MATHEMATICS-II,B,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EP60020-,A,Autumn20
HS20003-STATISTICS FOR ECONOMICS,A,Autumn20
HS20005-MICRO ECONOMICS-I,EX,Autumn20
HS20007-MACRO ECONOMICS-I,EX,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,B,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,EX,Spring21
HS20008-MACRO ECONOMICS-II,C,Spring21
HS20009-DEVELOPMENT ECONOMICS,A,Spring21
MA20013-DISCRETE MATHEMATICS,EX,Spring21
MA20104-PROBABILITY & STATISTICS,A,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,D,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,P,Autumn19
ME10001-MECHANICS,P,Autumn19
PH11001-PHYSICS,B,Autumn19
PH19001-PHYSICS LAB.,A,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
