subject,subject_grades,subject_session
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,B,Autumn19
ME10001-MECHANICS,C,Autumn19
PH11001-PHYSICS,C,Autumn19
PH19001-PHYSICS LAB.,A,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
EE11001-ELECTRICAL TECHNOLOGY,C,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,B,Spring20
MA10002-MATHEMATICS-II,A,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20
CE21005-SOLID MECHANICS,B,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,A,Autumn20
GG20007-GEOLOGY FOR ENGINEERS,A,Autumn20
GG29009-GEOLOGY LABORATORY,I,Autumn20
HS20001-ECONOMICS,B,Autumn20
MI20101-DEVELOPMENT OF MINERAL DEPOSITS,A,Autumn20
MI21007-ELEMENTS OF ROCK MECHANICS,A,Autumn20
MI29007-ROCK MECHANICS LABORATORY,I,Autumn20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring21
EC21101-BASIC ELECTRONICS,EX,Spring21
EC29001-BASIC ELECTRONICS LAB.,A,Spring21
ET60006-,A,Spring21
MA20104-PROBABILITY & STATISTICS,C,Spring21
ME22002-THERMODYNAMICS,C,Spring21
MI21002-MINE SURVEYING,,Spring21
MI29002-MINE SURVEYING LABORATORY,,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,P,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,P,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,EX,Autumn19
ME10001-MECHANICS,D,Autumn19
PH11001-PHYSICS,D,Autumn19
PH19001-PHYSICS LAB.,B,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,B,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
EE11001-ELECTRICAL TECHNOLOGY,C,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,C,Spring20
HS13001-ENGLISH FOR COMMUNICATION,D,Spring20
MA10002-MATHEMATICS-II,B,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring20
BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20
CE21005-SOLID MECHANICS,C,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,A,Autumn20
GG20007-GEOLOGY FOR ENGINEERS,C,Autumn20
GG29009-GEOLOGY LABORATORY,I,Autumn20
HS20001-ECONOMICS,B,Autumn20
MI20101-DEVELOPMENT OF MINERAL DEPOSITS,C,Autumn20
MI21007-ELEMENTS OF ROCK MECHANICS,C,Autumn20
MI29007-ROCK MECHANICS LABORATORY,I,Autumn20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EC21101-BASIC ELECTRONICS,A,Spring21
EC29001-BASIC ELECTRONICS LAB.,A,Spring21
EG30002-ENERGY CONVERSION PROCESSES,A,Spring21
MA20104-PROBABILITY & STATISTICS,B,Spring21
ME22002-THERMODYNAMICS,A,Spring21
MI21002-MINE SURVEYING,,Spring21
MI29002-MINE SURVEYING LABORATORY,,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,D,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,D,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,C,Autumn19
ME10001-MECHANICS,D,Autumn19
PH11001-PHYSICS,B,Autumn19
PH19001-PHYSICS LAB.,C,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
EE11001-ELECTRICAL TECHNOLOGY,B,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,C,Spring20
MA10002-MATHEMATICS-II,C,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring20
BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20
CE21005-SOLID MECHANICS,C,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,EX,Autumn20
GG20007-GEOLOGY FOR ENGINEERS,C,Autumn20
GG29009-GEOLOGY LABORATORY,I,Autumn20
HS20001-ECONOMICS,B,Autumn20
MI20101-DEVELOPMENT OF MINERAL DEPOSITS,A,Autumn20
MI21007-ELEMENTS OF ROCK MECHANICS,C,Autumn20
MI29007-ROCK MECHANICS LABORATORY,I,Autumn20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring21
EC21101-BASIC ELECTRONICS,A,Spring21
EC29001-BASIC ELECTRONICS LAB.,EX,Spring21
IM60006-,B,Spring21
MA20104-PROBABILITY & STATISTICS,B,Spring21
ME22002-THERMODYNAMICS,B,Spring21
MI21002-MINE SURVEYING,,Spring21
MI29002-MINE SURVEYING LABORATORY,,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,C,Autumn19
ME10001-MECHANICS,C,Autumn19
PH11001-PHYSICS,B,Autumn19
PH19001-PHYSICS LAB.,B,Autumn19
CY11001-CHEMISTRY,A,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
EE11001-ELECTRICAL TECHNOLOGY,B,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring20
HS13001-ENGLISH FOR COMMUNICATION,A,Spring20
MA10002-MATHEMATICS-II,A,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
BS20001-SCIENCE OF LIVING SYSTEM,B,Autumn20
CE21005-SOLID MECHANICS,B,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,A,Autumn20
GG20007-GEOLOGY FOR ENGINEERS,B,Autumn20
GG29009-GEOLOGY LABORATORY,I,Autumn20
HS20001-ECONOMICS,B,Autumn20
MI20101-DEVELOPMENT OF MINERAL DEPOSITS,A,Autumn20
MI21007-ELEMENTS OF ROCK MECHANICS,EX,Autumn20
MI29007-ROCK MECHANICS LABORATORY,I,Autumn20
BM40004-INTRODUCTION TO HUMAN BEHAVIOUR IN ORGANISATION,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EC21101-BASIC ELECTRONICS,EX,Spring21
EC29001-BASIC ELECTRONICS LAB.,A,Spring21
MA20104-PROBABILITY & STATISTICS,C,Spring21
ME22002-THERMODYNAMICS,D,Spring21
MI21002-MINE SURVEYING,,Spring21
MI29002-MINE SURVEYING LABORATORY,,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,P,Autumn19
ME10001-MECHANICS,P,Autumn19
PH11001-PHYSICS,C,Autumn19
PH19001-PHYSICS LAB.,A,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,C,Spring20
EE11001-ELECTRICAL TECHNOLOGY,C,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,A,Spring20
MA10002-MATHEMATICS-II,C,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20
CE21005-SOLID MECHANICS,C,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,EX,Autumn20
GG20007-GEOLOGY FOR ENGINEERS,B,Autumn20
GG29009-GEOLOGY LABORATORY,I,Autumn20
HS20001-ECONOMICS,EX,Autumn20
MI20101-DEVELOPMENT OF MINERAL DEPOSITS,B,Autumn20
MI21007-ELEMENTS OF ROCK MECHANICS,B,Autumn20
MI29007-ROCK MECHANICS LABORATORY,I,Autumn20
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,C,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EC21101-BASIC ELECTRONICS,A,Spring21
EC29001-BASIC ELECTRONICS LAB.,B,Spring21
MA20104-PROBABILITY & STATISTICS,D,Spring21
ME22002-THERMODYNAMICS,A,Spring21
MI21002-MINE SURVEYING,,Spring21
MI29002-MINE SURVEYING LABORATORY,,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,B,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,D,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,A,Autumn19
ME10001-MECHANICS,D,Autumn19
PH11001-PHYSICS,A,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,A,Spring20
CY19001-CHEMISTRY LAB.,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
EE11001-ELECTRICAL TECHNOLOGY,B,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,B,Spring20
MA10002-MATHEMATICS-II,A,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring20
BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20
CE21005-SOLID MECHANICS,C,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,A,Autumn20
GG20007-GEOLOGY FOR ENGINEERS,A,Autumn20
GG29009-GEOLOGY LABORATORY,I,Autumn20
HS20001-ECONOMICS,B,Autumn20
MI20101-DEVELOPMENT OF MINERAL DEPOSITS,B,Autumn20
MI21007-ELEMENTS OF ROCK MECHANICS,B,Autumn20
MI29007-ROCK MECHANICS LABORATORY,I,Autumn20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EC21101-BASIC ELECTRONICS,EX,Spring21
EC29001-BASIC ELECTRONICS LAB.,A,Spring21
MA20104-PROBABILITY & STATISTICS,B,Spring21
MA61004-,C,Spring21
ME22002-THERMODYNAMICS,B,Spring21
MI21002-MINE SURVEYING,,Spring21
MI29002-MINE SURVEYING LABORATORY,,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,P,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,B,Autumn19
ME10001-MECHANICS,B,Autumn19
PH11001-PHYSICS,A,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,A,Spring20
CY19001-CHEMISTRY LAB.,B,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
EE11001-ELECTRICAL TECHNOLOGY,EX,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,C,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
BS20001-SCIENCE OF LIVING SYSTEM,C,Autumn20
CE21005-SOLID MECHANICS,C,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,A,Autumn20
GG20007-GEOLOGY FOR ENGINEERS,B,Autumn20
GG29009-GEOLOGY LABORATORY,I,Autumn20
HS20001-ECONOMICS,B,Autumn20
MI20101-DEVELOPMENT OF MINERAL DEPOSITS,B,Autumn20
MI21007-ELEMENTS OF ROCK MECHANICS,B,Autumn20
MI29007-ROCK MECHANICS LABORATORY,I,Autumn20
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,B,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EC21101-BASIC ELECTRONICS,EX,Spring21
EC29001-BASIC ELECTRONICS LAB.,A,Spring21
MA20104-PROBABILITY & STATISTICS,C,Spring21
ME22002-THERMODYNAMICS,C,Spring21
MI21002-MINE SURVEYING,,Spring21
MI29002-MINE SURVEYING LABORATORY,,Spring21
CY11001-CHEMISTRY,C,Autumn19
CY19001-CHEMISTRY LAB.,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,D,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,D,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,C,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19
MA10001-MATHEMATICS-I,C,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,C,Spring20
MA10002-MATHEMATICS-II,B,Spring20
ME10001-MECHANICS,D,Spring20
PH11001-PHYSICS,D,Spring20
PH19001-PHYSICS LAB.,A,Spring20
BS20001-SCIENCE OF LIVING SYSTEM,B,Autumn20
CE21005-SOLID MECHANICS,C,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,A,Autumn20
GG20007-GEOLOGY FOR ENGINEERS,B,Autumn20
GG29009-GEOLOGY LABORATORY,I,Autumn20
HS20001-ECONOMICS,B,Autumn20
MI20101-DEVELOPMENT OF MINERAL DEPOSITS,A,Autumn20
MI21007-ELEMENTS OF ROCK MECHANICS,A,Autumn20
MI29007-ROCK MECHANICS LABORATORY,I,Autumn20
AT60004-,C,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EC21101-BASIC ELECTRONICS,B,Spring21
EC29001-BASIC ELECTRONICS LAB.,B,Spring21
MA20104-PROBABILITY & STATISTICS,B,Spring21
ME22002-THERMODYNAMICS,B,Spring21
MI21002-MINE SURVEYING,,Spring21
MI29002-MINE SURVEYING LABORATORY,,Spring21
CY11001-CHEMISTRY,P,Autumn19
CY19001-CHEMISTRY LAB.,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,P,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,D,Autumn19
