subject,subject_grades,subject_session
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,B,Autumn19
ME10001-MECHANICS,B,Autumn19
PH11001-PHYSICS,A,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,EX,Spring20
EE11001-ELECTRICAL TECHNOLOGY,A,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring20
HS13001-ENGLISH FOR COMMUNICATION,B,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring20
CH20001-FLUID MECHANICS,A,Autumn20
CH21103-CHEMICAL PROCESS CALCULATIONS,A,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EC21101-BASIC ELECTRONICS,EX,Autumn20
EC29001-BASIC ELECTRONICS LAB.,EX,Autumn20
HS20018-SANSKRIT AND HERITAGE,A,Autumn20
MA20101-TRANSFORM CALCULUS,EX,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring21
CH21004-HEAT TRANSFER,A,Spring21
CH21008-CHEMICAL ENGINEERING THERMODYNAMICS,A,Spring21
CH29006-FLUID FLOW LABORATORY AND DESIGN,,Spring21
CH29008-FUEL LABORATORY,,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20001-ECONOMICS,EX,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,A,Spring21
MA20104-PROBABILITY & STATISTICS,A,Spring21
MA30014-OPERATION RESEARCH,A,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,EX,Autumn19
ME10001-MECHANICS,A,Autumn19
PH11001-PHYSICS,A,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,A,Spring20
CY19001-CHEMISTRY LAB.,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
EE11001-ELECTRICAL TECHNOLOGY,B,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring20
HS13001-ENGLISH FOR COMMUNICATION,EX,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring20
CH20001-FLUID MECHANICS,A,Autumn20
CH21103-CHEMICAL PROCESS CALCULATIONS,A,Autumn20
CS40019-IMAGE PROCESSING,B,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
EC21101-BASIC ELECTRONICS,EX,Autumn20
EC29001-BASIC ELECTRONICS LAB.,EX,Autumn20
HS30037-PETROLEUM ECONOMICS AND MANAGEMENT,EX,Autumn20
MA20101-TRANSFORM CALCULUS,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring21
CD61004-,C,Spring21
CH21004-HEAT TRANSFER,A,Spring21
CH21008-CHEMICAL ENGINEERING THERMODYNAMICS,EX,Spring21
CH29006-FLUID FLOW LABORATORY AND DESIGN,,Spring21
CH29008-FUEL LABORATORY,,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20001-ECONOMICS,B,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,B,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,EX,Autumn19
ME10001-MECHANICS,A,Autumn19
PH11001-PHYSICS,A,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,EX,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
EE11001-ELECTRICAL TECHNOLOGY,B,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,C,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
CH20001-FLUID MECHANICS,B,Autumn20
CH21103-CHEMICAL PROCESS CALCULATIONS,A,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EC21101-BASIC ELECTRONICS,A,Autumn20
EC29001-BASIC ELECTRONICS LAB.,A,Autumn20
HS60044-,A,Autumn20
MA20101-TRANSFORM CALCULUS,EX,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
CH21004-HEAT TRANSFER,A,Spring21
CH21008-CHEMICAL ENGINEERING THERMODYNAMICS,A,Spring21
CH29006-FLUID FLOW LABORATORY AND DESIGN,,Spring21
CH29008-FUEL LABORATORY,,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20001-ECONOMICS,EX,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,EX,Spring21
MA20104-PROBABILITY & STATISTICS,B,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,EX,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,EX,Autumn19
ME10001-MECHANICS,A,Autumn19
PH11001-PHYSICS,A,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,A,Spring20
CY19001-CHEMISTRY LAB.,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
EE11001-ELECTRICAL TECHNOLOGY,C,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring20
HS13001-ENGLISH FOR COMMUNICATION,EX,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring20
CH20001-FLUID MECHANICS,EX,Autumn20
CH21103-CHEMICAL PROCESS CALCULATIONS,A,Autumn20
CS60017-,B,Autumn20
CS60092-,A,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EC21101-BASIC ELECTRONICS,A,Autumn20
EC29001-BASIC ELECTRONICS LAB.,EX,Autumn20
HS30068-SYMBOLIC LOGIC,EX,Autumn20
MA20101-TRANSFORM CALCULUS,EX,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring21
CH21004-HEAT TRANSFER,A,Spring21
CH21008-CHEMICAL ENGINEERING THERMODYNAMICS,A,Spring21
CH29006-FLUID FLOW LABORATORY AND DESIGN,,Spring21
CH29008-FUEL LABORATORY,,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,B,Spring21
HS20001-ECONOMICS,B,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,B,Spring21
MA20104-PROBABILITY & STATISTICS,A,Spring21
CY11001-CHEMISTRY,B,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,C,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn19
MA10001-MATHEMATICS-I,A,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,C,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME10001-MECHANICS,C,Spring20
PH11001-PHYSICS,A,Spring20
PH19001-PHYSICS LAB.,A,Spring20
CH20001-FLUID MECHANICS,B,Autumn20
CH21103-CHEMICAL PROCESS CALCULATIONS,C,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EC21101-BASIC ELECTRONICS,A,Autumn20
EC29001-BASIC ELECTRONICS LAB.,A,Autumn20
HS30001-INTRODUCTION TO SOCIOLOGY,B,Autumn20
MA20101-TRANSFORM CALCULUS,EX,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,B,Spring21
CH21004-HEAT TRANSFER,B,Spring21
CH21008-CHEMICAL ENGINEERING THERMODYNAMICS,B,Spring21
CH29006-FLUID FLOW LABORATORY AND DESIGN,,Spring21
CH29008-FUEL LABORATORY,,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20001-ECONOMICS,B,Spring21
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,A,Spring21
MA20104-PROBABILITY & STATISTICS,B,Spring21
CY11001-CHEMISTRY,A,Autumn19
CY19001-CHEMISTRY LAB.,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,D,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,C,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19
MA10001-MATHEMATICS-I,EX,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Spring20
